,index,tweet,label
38,10279,"#SPGonda @IPS_SantoshM के निर्देशन में #आगामी_विधानसभा_चुनाव_2022 के दृष्टिगत जनपदीय पुलिस द्वारा अपने-अपने क्षेत्र में पैरामिलिट्री व भारी पुलिस बल के साथ एरिया डोमिनेशन/फ्लैग मार्च कर आमजनमानस को कराया सुरक्षा का एहसास।
#YourVoteMatters
#AssemblyElections2022
#AgelessDemocracy https://t.co/ZYvop6do5M",0
39,10293,"Uttarakhand Election: चुनाव से पहले एक करोड़ से अधिक की शराब, 1 करोड़ की हेरोइन जब्त, ये भी हुआ बरामद 
#UttarakhandElections2022 
#AssemblyElections2022

https://t.co/A32rEotE0f",0
40,10295,"उत्तर प्रदेश में विधानसभा चुनाव के सातवें और अंतिम चरण के मतदान के लिए नामांकन भरने की प्रक्रिया आज अधिसूचना जारी होने के साथ शुरू होगी। अंतिम चरण में 7 मार्च को 54 सीटों के लिए मतदान होगा। 

#AssemblyElections2022",0
41,10296,"#चुनाव_प्रहरी 
#एसपी_रामपुर के निर्देशन में जनपद रामपुर में आगामी विधानसभा निर्वाचन-2022 को शांतिपूर्वक कराने एवं मतदाताओं को अपने मत के अधिकार के विषय में जानकारी देकर फ्लैग मार्च करता रामपुर पुलिस बल । 
 #UPPolice  #YourVoteMatters  #AssemblyElections2022   #AgelessDemocracy https://t.co/zmlLsRth88",0
42,10298,"पुलिस अधीक्षक कौशाम्बी के निर्देशन में आगामी विधानसभा चुनाव-2022 के दृष्टिगत  थाना मो0पुर पइंसा पुलिस द्वारा अर्धसैनिक बल के साथ थाना क्षेत्र के विभिन्न गांव में पैदल गस्त/भ्रमण किया गया।  
#UPPolice 
#kaushambipolice
#yourVotematters
#AssemblyElections2022 
#AgelessDemocracy https://t.co/DZ7hCMnnV6",0
43,10299,"#baghpatpolice 
#YourVoteMatters 
#AgelessDemocracy
एसपी महोदय द्वारा पुलिस लाइन सभागार मे एएसपी एवं समस्त CO/SHO व समस्त सेक्टर/क्लस्टर पुलिस अधिकारियो के साथ #AssemblyElections2022 के सम्बंध मे समीक्षा गोष्ठी आयोजित की गई तथा आगामी कार्यक्रमों के दृष्टिगत दिशा-निर्देश दिये गये। https://t.co/gAgSx80v07",0
44,10307,"#ExitPollOnTNNavBharat: 'M Y की एक पर‍िभाषा हुआ करती थी, आज वो मह‍िला-युवा, मोदी-योगी और मोदी की योजनाएं में तब्‍दील हो चुकी है'- #BJP प्रवक्‍ता @Shehzad_Ind

#AssemblyElections2022 @VetoYourVoice #JanGanKaMann @MinakshiKandwal https://t.co/GQjpE2qMJC",0
45,10310,"हम हक और अधिकार की बात करते हैं : डॉ. पवन राव अम्बेडकर, प्रवक्ता, AIMIM
#ओवैसी_गोलीकांड

#DeshKiBahas

@manoj_gairola

@peenaz_tyagi

@aimim_national
@manishBJPUP

#AssemblyElections2022

Live Copy : https://t.co/wjeQHJEPfi

Live TV : https://t.co/Y5O2KLptft https://t.co/8MraLM3yW1",0
46,10317,"उत्तर प्रदेश के इतिहास में आगामी विधानसभा चुनावों में पहली बार प्रदेश में डोर स्टेप वोटिंग यानी घर से मतदान करने की सुविधा प्रदान की है। पूरा पढ़ने के लिए लिंक पर क्लिक करे :backhand_index_pointing_down:
#VotingRights #Election2022 #ElectionCommission #AssemblyElections2022 

https://t.co/iD9Qf2d5Ef",0
47,10324,"#UPPolice
#AssemblyElections2022 के दृष्टिगत #चुनाव_प्रेक्षकों द्वारा थाना मारकुंडी,मानिकपुर एवं थाना राजापुर, पहाड़ी के विभिन्न ग्रामों के पोलिंग बूथों का निरीक्षण कर संबंधित को आवश्यक दिशा निर्देश दिए गए। #मीडिया_कवरेज।
 #YourVoteMatters #AgelessDemocracy https://t.co/mBG4Kb7Ngu",0
48,10325,"#एसपी_अमरोहा पूनम के निर्देशन में शातिर अपराधियों के विरुद्ध कार्यवाही जारी:- 
थाना गजरौला पुलिस द्वारा चैकिंग के दौरान कार से 53.40 लाख रुपये बरामद किये गये ।
#UPPolice 
#AssemblyElections2022 
#YourVoteMatters
#AgelessDemocracy https://t.co/GfL3XqJf9w",0
49,10338,"#ब्रेकिंग - कांग्रेस ने पंजाब के 86 उम्मीद- वारों की लिस्ट जारी की, चन्नी चमकौर साहिव से लड़ेंगे

#AssemblyElections2022 #News https://t.co/vDIbBZEFwz",0
50,10346,"#Lalkuan
लालकुआं विधानसभा क्षेत्र के #Alaknandacolony गौलापार में बैठक की एवं क्षेत्रवासियों से आशीर्वाद मांगा व उनसे अपील की कि 14 फरवरी 2022 को अपना अमूल्य वोट देकर मुझे भारी मतों से विजई बनाएं।
#AssemblyElections2022 https://t.co/tjwRFG0OGe",0
51,10348,"Assembly Election 2022: RLD के बाद AAP से गठबंधन कर सकती है सपा, संजय सिंह ने अखिलेश यादव से की मुलाकात : https://t.co/kEFchw1JvY

#Election2022 #assemblyelections2022",0
52,10356,"#SSP @moradabadpolice, SPCITY एवं ADM CITY द्वारा स्थानीय पुलिस व अर्द्धसैनिक बल के साथ द्वारा विधानसभा निर्वाचन, कानून एवं शान्ति व्यवस्था के दृष्टिगत नगर क्षेत्रान्त्रगत रुट मार्च किया गया तथा सम्बन्धित को आवश्यक दिशा-निर्देश दिये गये।
#YourVoteMatters
#AssemblyElections2022 https://t.co/mgESIsNdKZ",0
53,10359,"यमुनोत्री सीट से निर्दलीय लड़ेंगे संजय डोभाल, कांग्रेस के सभी पदों से दिया इस्तीफा
#UttarakhandElections2022 
#AssemblyElections2022 https://t.co/DmYZ6LQibs",0
54,10361,"#Bijnor : बिजनौर दौरे पर रहेंगे अखिलेश और जयंत चौधरी, सपा-RLD की संयुक्त चुनावी जनसभा आज, अखिलेश यादव,RLD अध्यक्ष जयंत चौधरी होंगे शामिल, सुबह 11 बजे नुमाइश मैदान में होगी जनसभा |
#UPElection #UPElections #AssemblyElections2022 #UttarPradeshElections2022 #ElectionsWithKnews https://t.co/varYFn7FX0",0
55,10372,".@DmSitapur व DIG/SP द्वारा संयुक्त रूप से जनपद में दिनांक 23.02.2022 को होने वाले सामान्य विधान सभा निर्वाचन के दृष्टिगत चुनाव ड्यूटी में लगे अधिकारी/कर्मचारीगण की रवानगी स्थल का जायजा लिया गया तथा सम्बन्धित को आवश्यक दिशा-निर्देश दिये गए।#YourVoteMatters 
#AssemblyElections2022 https://t.co/rSERbJDYCF",0
56,10377,"आगामी विधानसभा चुनाव के दृष्टिगत जनपद के समस्त #CO/थाना प्रभारियों द्वारा अपने-अपने थाना क्षेत्र में कानून एवं शान्ति व्यवस्था बनाये रखने हेतु संदिग्ध व्यक्ति/वाहनों की चेकिंग कर पैदल गश्त की गयी ।
#UPPolice 
#YourVoteMatters
#AssemblyElections2022 
#AgelessDemocracy https://t.co/Vc5VWIhQbk",0
57,10386,"#AssemblyElections2022 : सोमवार को यूपी में आखिरी चरण का मतदान, 9 जिले की 54 सीटों पर होगा मतदान

#UPElections2022 #UttarPradeshElections2022
#Elections2022 

https://t.co/p4htrzeZsU",0
58,10396,"बजा चुनावी बिगुल: कांग्रेस नेता हरीश रावत ने इंडिया न्यूज़ की खास बात चीत...India News 
#AssemblyElections2022 #IndiaNews #ITV 
@journotushar https://t.co/poxkC4tSGd",0
59,10403,"पश्चिमी उत्तर प्रदेश में 58 में से कितनी
#AssemblyElections2022 
#BJP",0
60,10413,इनका इंसानियत नैतिकता और सच्चाई के अलावा सब से रिश्ता है #ModiLies #UPElections2022 #AssemblyElections2022 https://t.co/IdYcUad61h,0
61,10414,"भाजपा की सबसे बड़ी दिक्क़त यह है कि
लाख बहकाने के बाबजूद लोग अब 'हिंदू-मुस्लिम' करने को राजी नहीं :person_gesturing_OK:

 'भ्रम-अस्त्र' फेल तो #भाजपा फेल :zany_face:

#UPElections #AssemblyElections2022",1
62,10416,माननीय प्रेक्षकगण व जिलाधिकारी एवं पुलिस अधीक्षक @Ashokips68rr द्वारा सामान्य निर्वाचन विधान सभा– 2022 के दृष्टिगत नामांकन स्थल का निरीक्षण कर सम्बन्धित को आवश्यक दिशा निर्देश दिये गये। #YourVoteMatters #AssemblyElections2022 #AgelessDemocracy https://t.co/pdoqbW7RWr,0
63,10427,"पुलिस अधीक्षक शामली @SukirtiMadhav के निर्देशन में जनपद पुलिस द्वारा आगामी #AssemblyElections2022 को सकुशल सम्पन्न कराये जाने हेतु थाना क्षेत्र को0 नगर, गढीपुख्ता तथा थाना झिंझाना में पड़ने वाले संवेदनशील क्षेत्रों में अर्धसैनिक बल के साथ फ्लैग मार्च किया गया ।
#YourVoteMatters https://t.co/Uw35bVKbQf",0
64,10436,"रंगला पंजाब 
पंजे नाल पंजाब :folded_hands_light_skin_tone::raised_back_of_hand:

@priyankagandhi

#AssemblyElections2022 
#PunjabElections2022 https://t.co/ilSHl2UYqV",0
65,10444,"सत्ता का संग्राम' में आज देखिए... क्या हैं आगरा के राजनीतिक समीकरण 
जुड़िये हमसे आज शाम 5:00 बजे यूट्यूब लाइव में  - https://t.co/OzepmgzwTr

#UPElections2022 #UPElectionWithAmarUjala #AssemblyElections2022 https://t.co/SMx46f97HT",0
66,10449,"LIVE |जम्मू कश्मीर के शोपियां में शहीद हुए संतोष को देवरिया में दी गई अंतिम विदाई, पत्नी ने की सीएम योगी के घर आने की मांग

@ShobhnaYadava के साथ 

#Elections2022 #AssemblyElections2022 #SamajwadiParty #BharatKiBaatOnABP

यहां देखें : https://t.co/fqzG4sSXu6 https://t.co/e2CxBwI5xP",0
67,10479,"#SamajwadiParty ने #AzamKhan को दिया टिकट, जानें किस सीट से उतरेंगे मैदान में

#UttarPradesh #AssemblyElections2022

https://t.co/YYHVyGHrQJ",0
68,10481,"जल संस्थान को सौंपा, नियमावली बनाई। क्रियान्वित करने से पहले हमारी सरकार चली गयी। मगर आंशिक..https://t.co/NrHFGprnx1..""हमने किया है, आगे भी करके दिखाएंगे"" इंतजार करिए 2022 के परिणामों का।
#uttarakhand #AssemblyElections2022 
@BJP4UK @INCIndia @RahulGandhi @INCUttarakhand",0
69,10484,"#तीसरी_ऑख

#एसपी_रामपुर के निर्देशन में  #AssemblyElections2022 के दृष्टिगत  #RampurPolice द्वारा तीसरी ऑख (ड्रोन केमरों) से की जा रही है, शरारती तत्वों पर निगरानी, गडबडी करने वाले जायेगें जेल 
#YourVoteMatters
#AgelessDemocracy https://t.co/ag08TCccO9",0
70,10489,"#BastiPolice आगामी #AssemblyElections2022 को भयमुक्त वातावरण में निष्पक्ष मतदान कराने हेतु थाना गौर पुलिस द्वारा सीआईएसएफ के जवानों के साथ थाना क्षेत्र में एरिया डोमिनेशन कर आम-जनमानस में सुरक्षा की भावना का एहसास दिलाया गयाा।
#YourVoteMatters
 #AgelessDemocracy https://t.co/DbMy78yCIx",0
71,10492,"आज की तारीख़ में आप यूपी में बीजेपी को कितनी सीट दे रहे हैं?

और सपा को?
#AssemblyElections2022 #UPElections2022",0
72,10501,प्रदेश के हित में मतदान अवश्य करें...#AssemblyElections2022 https://t.co/gFBEX9MhXG,0
73,10514,जब चुनाव मुद्दों पर न होकर बयानों पर हों तो जनता का नुकसान तय होता है #AssemblyElections2022,0
74,10521,"#विधानसभाचुनाव2022 के दृष्टिगत बलवाइयों/उपद्रवियों से निपटने के लिए जवानों को एंटीराइट गन, अश्रु गैस ग्रेनेड, मिर्ची बम, रबड़ बुलेट आदि का अभ्यास कराते हुए #SPGonda @IPS_SantoshM 

#AssemblyElections2022 
#YourVoteMatters https://t.co/MZLoMHqIyV",0
75,10526,"सरकार-संगठन में बगैर पद कांग्रेस के स्टार प्रचारक बने पायलट, जानें वजह #AssemblyElections2022 #sachinpilot #Conress @keshavom           https://t.co/nUKlAshupr",0
76,10530,"आम आदमी पार्टी (आप) ने गोवा विधानसभा चुनाव के लिए शनिवार को तीन और उम्मीदवारों की घोषणा की।
#GoaElections2022 #AssemblyElections2022 #AAP",0
77,10531,"यूपी चुनाव को लेकर एबीपी न्यूज की स्पेशल सीरीज 'ऑपरेशन 403' में सामने आई लोगों के मन की बात

@Sheerin_sherry 

https://t.co/p8nVQWGCTx 

#Operation403 #AssemblyElections2022 #UttarPradesh #UPElections2022 #Bulandshahr https://t.co/TXSLgxxGEz",0
78,10548,"#UP_Election : अमित शाह का सपा पर वार, बोले- सपा सरकार में दंगे होते थे, जो आतंक के साथ क्या उसे वोट देना चाहिए।

#UPElections2022 @AmitShah  @BJP4UP #AssemblyElections2022",0
79,10550,"आगामी वि.स. निर्वाचन 2022 के दृष्टिगत जनपद में सुरक्षा व्यवस्था को बनाये रखने हेतु जनपदीय पुलिस बल द्वारा पैदल गस्त कर यातायात नियमों के प्रति लोगों को जागरुक किया गया
#UPPolice 
#YourVoteMatters 
 #AssemblyElections2022 #AgelessDemocracy https://t.co/wJ68RGeMPj",0
80,10554,"कमल खिलेगा यूपी में 
#AssemblyElections2022
#फिर_एक_बार_योगी_सरकार #yogihaiupyogi
#Vote4BJP
#YogiJiOnceAgain https://t.co/QPRKODUt21",0
81,10565,"कितना % वोट हुआ प्रथम चरण में अभी तक?
#AssemblyElections2022 #UPElections2022 #Elections2022 #UPElections",0
82,10574,"रिश्तों पर भारी पड़ती सियासी महत्वाकांक्षा? टिकटों को लेकर इन सीटों पर परिवार के सदस्यों में ही टकराव

#UttarPradesh #AssemblyElections2022

https://t.co/rR45fqsOIN",0
83,10580,"#चुनाव_प्रहरी
#एसपी_रामपुर के निर्देशन में आगामी विधानसभा सामान्य निर्वाचन-2022 के दृष्टिगत, SDM मिलक व क्षेत्राधिकारी मिलक #Rampurpolice द्वारा शराब की दुकानों पर चलाया चेकिंग अभियान
 #UPPolice 
#YourVoteMatters 
#AssemblyElections2022 
#AgelessDemocracy https://t.co/5Fee6MZ0sK",0
84,10588,"#OpinionPollOnABP | क्या पंजाब में 'आम आदमी पार्टी' सरकार बना सकती है? देखिए क्या है एक्सपर्ट्स की राय 

@awasthis 
  
#KBM2022 #PunjabElections2022 #Elections2022 #AssemblyElections2022 

यहां देखें : https://t.co/5sPgMLiAtp https://t.co/cpUGoWOJdT",0
85,10593,"आगामी #AssemblyElections2022  के दृष्टिगत क्षेत्राधिकारी कुलपहाड़ द्वारा सीमावर्ती जनपद छतरपुर (म0प्र0) के प्रभारी निरीक्षक थाना नौगांव के साथ जनपदों में आपसी समन्यवय एवं शांति व्यवस्था में सहयोग हेतु गोष्ठी की गई ।
#UPPolice
#YourVoteMatters #AgelessDemocracy https://t.co/rU9LcmWUFu",0
86,10615,".@dmsambhal व #SPSambhal @chakreshm द्वारा थाना जुनावई के परिसर में पुलिस अधिकारीगण के साथ आगामी #AssemblyElections2022 की चुनाव संबंधी तैयारियों तथा संवेदनशील बूथों की जानकारी कर विशेष निगरानी रखने तथा बिंदुवार समीक्षा कर आवश्यक दिशा-निर्देश दिए गए।
#UPPolice 
#AgelessDemocracy https://t.co/bF2Vfk714X",0
87,10617,"Politicians tonight,
जब रात है ऐसी मतवाली सुबह का आलम क्या होगा। 

#AssemblyElections2022",0
88,10623,"ये यूपी का चुनाव तीन ही चेहरे पर हो रहा है। 
#AssemblyElections2022 RT @GoriBano https://t.co/wwhRDUBMgw",0
89,10632,"पोलिंग का समय एक घंटे बढ़ाया गया है : सुशील चंद्रा
#AssemblyElections2022 | #Elections2022 #ElectionCommission |",0
90,10633,इनकी शिक्षा नीति पे क्या बोले । इन लोगों के वजह से हमारा इतिहास बदल गया । आक्रांता अकबर और औरंगजेब महान हो गया और राणा प्रताप एक पेज में रह गये। @ARanganathan72 @TNNavbharat @SushantBSinha @myogiadityanath #AssemblyElections2022 https://t.co/e7JbTanDwH,0
91,10643,"#चुनाव_प्रहरी  
#एसपी_रामपुर के निर्देशन में आगामी विधानसभा चुनाव के दृष्टिगत #Rampurpolice  द्वारा उत्तराखंड बॉर्डर पर  संदिग्ध व्यक्ति / वाहनों की चेकिंग की गई #UPPolice #YourVoteMatters #AssemblyElections2022 #AgelessDemocracy https://t.co/2E5dFObwGu",0
92,10655,"चुनाव बाद पेट्रोल और डीजल के दामों में भारी बढ़ोतरी करेगी केंद्र सरकार, कांग्रेस की अपील- जनता पर भार न बढ़ाएं

#AssemblyElections2022 #Congress #CentralGovt  @ShuklaRajiv 
https://t.co/6NKRaXkE5p",0
